Id,IsEquipment,IsOverlaped,Parts,ItemSet,WeaponType,SubWeaponType,Tier,Name_kr,Strength,Agility,Intelligence,Critical,Hp,Attack,Defence,Price,Text
140118,false,true,RARE_INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,재생의 심장핵,0,0,0,0,0,0,0,0,재생력이 집중된 심장핵. 생명력을 다루는 희귀 재료다.
140019,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,박쥐 가죽 날개,0,0,0,0,0,0,0,0,박쥐 날개의 가죽 부분. 가볍고 유연한 소재다.
140020,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,음파 주머니,0,0,0,0,0,0,0,0,음파를 내는 기관. 탐지와 소리에 반응하는 재료다.
140121,false,true,RARE_INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,흡혈의 송곳니,0,0,0,0,0,0,0,0,피를 탐하는 박쥐의 송곳니. 흡혈 속성을 지닌 희귀 재료다.
140022,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,거미다리 절편,0,0,0,0,0,0,0,0,딱딱한 거미다리의 외피. 껍질처럼 단단한 재료다.
140023,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,끈적한 거미줄 덩어리,0,0,0,0,0,0,0,0,끈적하게 뭉쳐진 거미줄. 점착성 효과가 있다.
140124,false,true,RARE_INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,독거미의 분비선,0,0,0,0,0,0,0,0,강한 독을 품은 분비선. 독 제조에 쓰이는 희귀 재료다.
140025,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,식인식물의 이파리,0,0,0,0,0,0,0,0,식인 식물의 이파리. 식물의 잎 치고는 단단하고 질기다.
140026,false,true,INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,식인식물의 체액,0,0,0,0,0,0,0,0,식인 식물의 체액. 독성을 띄는듯 하다.
140127,false,true,RARE_INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,식인식물의 촉수,0,0,0,0,0,0,0,0,식인 식물이 휘두르던 촉수. 채찍으로 느껴질 정도로 단단한 희귀 재료다.
140128,false,true,RARE_INGREDIANT,NOT_SET,NOT_WEAPON,NOT_SUBWEAPON,0,식인식물의 이빨,0,0,0,0,0,0,0,0,식인 식물의 꽃에 달린 이빨. 장비를 만들 수 있는 희귀재료다.
